participant,group,condition,roi,bca_uv
A01,Group_A,Positive Valence,LOT,0.246724
A01,Group_A,Positive Valence,ROT,0.347530
A01,Group_A,Negative Valence,LOT,0.296118
A01,Group_A,Negative Valence,ROT,0.281912
A01,Group_A,Neutral Angry,LOT,0.380611
A01,Group_A,Neutral Angry,ROT,0.496777
A02,Group_A,Positive Valence,LOT,0.051768
A02,Group_A,Positive Valence,ROT,0.124701
A02,Group_A,Negative Valence,LOT,0.184303
A02,Group_A,Negative Valence,ROT,0.246586
A02,Group_A,Neutral Angry,LOT,0.309820
A02,Group_A,Neutral Angry,ROT,0.433423
A03,Group_A,Positive Valence,LOT,0.059648
A03,Group_A,Positive Valence,ROT,0.032292
A03,Group_A,Negative Valence,LOT,0.212917
A03,Group_A,Negative Valence,ROT,0.121919
A03,Group_A,Neutral Angry,LOT,0.383836
A03,Group_A,Neutral Angry,ROT,0.442481
A04,Group_A,Positive Valence,LOT,0.152379
A04,Group_A,Positive Valence,ROT,0.247684
A04,Group_A,Negative Valence,LOT,0.243006
A04,Group_A,Negative Valence,ROT,0.353325
A04,Group_A,Neutral Angry,LOT,0.318955
A04,Group_A,Neutral Angry,ROT,0.547160
A05,Group_A,Positive Valence,LOT,0.034771
A05,Group_A,Positive Valence,ROT,0.101988
A05,Group_A,Negative Valence,LOT,0.112556
A05,Group_A,Negative Valence,ROT,0.282200
A05,Group_A,Neutral Angry,LOT,0.373730
A05,Group_A,Neutral Angry,ROT,0.407200
A06,Group_A,Positive Valence,LOT,0.101086
A06,Group_A,Positive Valence,ROT,0.135516
A06,Group_A,Negative Valence,LOT,0.238959
A06,Group_A,Negative Valence,ROT,0.290023
A06,Group_A,Neutral Angry,LOT,0.341343
A06,Group_A,Neutral Angry,ROT,0.578087
A07,Group_A,Positive Valence,LOT,-0.068923
A07,Group_A,Positive Valence,ROT,0.028312
A07,Group_A,Negative Valence,LOT,0.154972
A07,Group_A,Negative Valence,ROT,0.311737
A07,Group_A,Neutral Angry,LOT,0.194760
A07,Group_A,Neutral Angry,ROT,0.497933
A08,Group_A,Positive Valence,LOT,0.139955
A08,Group_A,Positive Valence,ROT,0.095076
