participant,group,condition,roi,bca_uv,,Group A neg valence mean,Group B negative valence mean,
A01,Group_A,Negative Valence,Occipital,0.336996,,0.25071232,0.15932896,0.09138336
A02,Group_A,Negative Valence,Occipital,0.143451,,,,
A03,Group_A,Negative Valence,Occipital,0.194664,,,,
A04,Group_A,Negative Valence,Occipital,0.3302,,,,
A05,Group_A,Negative Valence,Occipital,0.226074,,,,
A06,Group_A,Negative Valence,Occipital,0.279306,,,,
A07,Group_A,Negative Valence,Occipital,0.253705,,,,
A08,Group_A,Negative Valence,Occipital,0.173447,,,,
A09,Group_A,Negative Valence,Occipital,0.073307,,,,
A10,Group_A,Negative Valence,Occipital,0.324878,,,,
A11,Group_A,Negative Valence,Occipital,0.324572,,,,
A12,Group_A,Negative Valence,Occipital,0.088022,,,,
A13,Group_A,Negative Valence,Occipital,0.135851,,,,
A14,Group_A,Negative Valence,Occipital,0.344547,,,,
A15,Group_A,Negative Valence,Occipital,0.076946,,,,
A16,Group_A,Negative Valence,Occipital,0.544692,,,,
A17,Group_A,Negative Valence,Occipital,0.121238,,,,
A18,Group_A,Negative Valence,Occipital,0.405898,,,,
A19,Group_A,Negative Valence,Occipital,0.228939,,,,
A20,Group_A,Negative Valence,Occipital,0.254279,,,,
A21,Group_A,Negative Valence,Occipital,0.190092,,,,
A22,Group_A,Negative Valence,Occipital,0.50019,,,,
A23,Group_A,Negative Valence,Occipital,0.371531,,,,
A24,Group_A,Negative Valence,Occipital,0.100022,,,,
A25,Group_A,Negative Valence,Occipital,0.244961,,,,
B01,Group_B,Negative Valence,Occipital,0.325381,,,,
B02,Group_B,Negative Valence,Occipital,0.144048,,,,
B03,Group_B,Negative Valence,Occipital,-0.033104,,,,
B04,Group_B,Negative Valence,Occipital,0.1275,,,,
B05,Group_B,Negative Valence,Occipital,0.191184,,,,
B06,Group_B,Negative Valence,Occipital,0.305831,,,,
B07,Group_B,Negative Valence,Occipital,0.247707,,,,
B08,Group_B,Negative Valence,Occipital,0.167922,,,,
B09,Group_B,Negative Valence,Occipital,0.272998,,,,
B10,Group_B,Negative Valence,Occipital,-0.08907,,,,
B11,Group_B,Negative Valence,Occipital,0.059903,,,,
B12,Group_B,Negative Valence,Occipital,0.188808,,,,
B13,Group_B,Negative Valence,Occipital,0.080086,,,,
B14,Group_B,Negative Valence,Occipital,0.347273,,,,
B15,Group_B,Negative Valence,Occipital,0.175572,,,,
B16,Group_B,Negative Valence,Occipital,0.073748,,,,
B17,Group_B,Negative Valence,Occipital,0.265945,,,,
B18,Group_B,Negative Valence,Occipital,0.025312,,,,
B19,Group_B,Negative Valence,Occipital,0.220943,,,,
B20,Group_B,Negative Valence,Occipital,0.036691,,,,
B21,Group_B,Negative Valence,Occipital,0.364332,,,,
B22,Group_B,Negative Valence,Occipital,0.048567,,,,
B23,Group_B,Negative Valence,Occipital,0.19032,,,,
B24,Group_B,Negative Valence,Occipital,0.099027,,,,
B25,Group_B,Negative Valence,Occipital,0.1463,,,,
A01,Group_A,Neutral Angry,Occipital,0.564129,,,,
A02,Group_A,Neutral Angry,Occipital,0.427553,,,,
A03,Group_A,Neutral Angry,Occipital,0.343552,,,,
A04,Group_A,Neutral Angry,Occipital,0.587829,,,,
A05,Group_A,Neutral Angry,Occipital,0.436362,,,,
A06,Group_A,Neutral Angry,Occipital,0.45473,,,,
A07,Group_A,Neutral Angry,Occipital,0.286867,,,,
A08,Group_A,Neutral Angry,Occipital,0.201612,,,,
A09,Group_A,Neutral Angry,Occipital,0.177102,,,,
A10,Group_A,Neutral Angry,Occipital,0.42024,,,,
A11,Group_A,Neutral Angry,Occipital,0.46986,,,,
A12,Group_A,Neutral Angry,Occipital,0.410969,,,,
A13,Group_A,Neutral Angry,Occipital,0.343896,,,,
A14,Group_A,Neutral Angry,Occipital,0.467135,,,,
A15,Group_A,Neutral Angry,Occipital,0.336421,,,,
A16,Group_A,Neutral Angry,Occipital,0.775855,,,,
A17,Group_A,Neutral Angry,Occipital,0.279252,,,,
A18,Group_A,Neutral Angry,Occipital,0.593755,,,,
A19,Group_A,Neutral Angry,Occipital,0.279732,,,,
A20,Group_A,Neutral Angry,Occipital,0.425252,,,,
A21,Group_A,Neutral Angry,Occipital,0.232043,,,,
