participant,group,roi,Positive Valence,Negative Valence,Neutral Angry
A01,Group_A,Occipital,0.427719,0.336996,0.564129
A02,Group_A,Occipital,0.117747,0.143451,0.427553
A03,Group_A,Occipital,0.113058,0.194664,0.343552
A04,Group_A,Occipital,0.242448,0.330200,0.587829
A05,Group_A,Occipital,0.199446,0.226074,0.436362
A06,Group_A,Occipital,0.215958,0.279306,0.454730
A07,Group_A,Occipital,0.142742,0.253705,0.286867
A08,Group_A,Occipital,0.099516,0.173447,0.201612
A09,Group_A,Occipital,-0.080375,0.073307,0.177102
A10,Group_A,Occipital,0.187997,0.324878,0.420240
A11,Group_A,Occipital,0.265952,0.324572,0.469860
A12,Group_A,Occipital,0.061493,0.088022,0.410969
A13,Group_A,Occipital,-0.022075,0.135851,0.343896
A14,Group_A,Occipital,0.273808,0.344547,0.467135
A15,Group_A,Occipital,0.131621,0.076946,0.336421
A16,Group_A,Occipital,0.400070,0.544692,0.775855
A17,Group_A,Occipital,-0.088134,0.121238,0.279252
A18,Group_A,Occipital,0.257439,0.405898,0.593755
A19,Group_A,Occipital,0.177375,0.228939,0.279732
A20,Group_A,Occipital,0.201301,0.254279,0.425252
A21,Group_A,Occipital,-0.002444,0.190092,0.232043
A22,Group_A,Occipital,0.252147,0.500190,0.550506
A23,Group_A,Occipital,0.285542,0.371531,0.539628
A24,Group_A,Occipital,-0.010552,0.100022,0.304354
A25,Group_A,Occipital,0.168117,0.244961,0.374356
B01,Group_B,Occipital,0.118838,0.325381,0.258966
B02,Group_B,Occipital,0.127272,0.144048,0.064072
B03,Group_B,Occipital,-0.008031,-0.033104,-0.075760
B04,Group_B,Occipital,0.128277,0.127500,0.162606
B05,Group_B,Occipital,0.040131,0.191184,0.166709
B06,Group_B,Occipital,0.250047,0.305831,0.289652
B07,Group_B,Occipital,0.127656,0.247707,0.346027
B08,Group_B,Occipital,0.195305,0.167922,0.310327
B09,Group_B,Occipital,0.295429,0.272998,0.317899
B10,Group_B,Occipital,0.083334,-0.089070,0.004087
B11,Group_B,Occipital,0.066796,0.059903,0.223959
B12,Group_B,Occipital,0.209776,0.188808,0.240714
B13,Group_B,Occipital,0.032915,0.080086,0.099612
B14,Group_B,Occipital,0.270208,0.347273,0.347198
B15,Group_B,Occipital,0.127578,0.175572,0.237307
B16,Group_B,Occipital,0.100151,0.073748,0.187233
B17,Group_B,Occipital,0.339678,0.265945,0.432662
B18,Group_B,Occipital,-0.022644,0.025312,0.151228
B19,Group_B,Occipital,0.032731,0.220943,0.239258
B20,Group_B,Occipital,0.083746,0.036691,0.168381
B21,Group_B,Occipital,0.186327,0.364332,0.275250
B22,Group_B,Occipital,-0.090523,0.048567,-0.015292
B23,Group_B,Occipital,0.020187,0.190320,0.144243
B24,Group_B,Occipital,0.081355,0.099027,0.158778
B25,Group_B,Occipital,-0.036215,0.146300,0.198910
